t,theta1,omega1,theta2,omega2,E1,E2,E_total
3.825,0.326523622,0.9726663633,-0.2172502697,-0.5020921419,0.9913697124,0.3566437695,1.353373099
3.85,0.3498095544,0.8893111901,-0.2291316956,-0.4479760239,0.9895504243,0.3567355974,1.352754204
3.875,0.3709465935,0.8008461707,-0.2396281683,-0.3913519303,0.9879081218,0.3568862316,1.352381794
3.9,0.3898139229,0.7078289195,-0.2486812312,-0.3325607915,0.9864591673,0.3570750541,1.352210861
3.925,0.4063048912,0.6108343237,-0.2562410559,-0.2719516217,0.9852162715,0.3572802481,1.352191049
3.95,0.420327394,0.5104506563,-0.2622666217,-0.2098797373,0.9841875305,0.3574797442,1.352268747
3.975,0.4318041654,0.4072761859,-0.2667258523,-0.1467051058,0.9833755888,0.357652142,1.352389186
4,0.4406729901,0.3019162811,-0.2695957127,-0.08279081293,0.9827769803,0.3577775662,1.352498464
4.025,0.4468868503,0.1949809703,-0.2708622688,-0.0185016305,0.9823816953,0.3578384193,1.352545393
4.05,0.4504140154,0.0870828986,-0.2705207129,0.0457973385,0.982173007,0.3578200023,1.352483129
4.075,0.4512380851,-0.02116440627,-0.2685753554,0.109741964,0.9821275848,0.3577109762,1.352270492
4.1,0.4493579927,-0.1291480566,-0.2650395842,0.1729703713,0.9822159042,0.3575036533,1.351872982
4.125,0.4447879706,-0.2362572282,-0.2599357927,0.2351242316,0.9824029544,0.3571941079,1.351263426
4.15,0.4375574811,-0.3418845979,-0.2532952744,0.2958500868,0.982649226,0.3567821113,1.350422287
4.175,0.4277111098,-0.4454279094,-0.2451580839,0.354800736,0.9829119506,0.3562708991,1.349337634
4.2,0.4153084169,-0.5462917691,-0.2355728625,0.4116367013,0.9831465505,0.3556667905,1.348004792
4.225,0.40042374,-0.6438897632,-0.2245966258,0.4660277896,0.9833082427,0.3549786837,1.346425743
4.25,0.3831459393,-0.7376469664,-0.2122945109,0.517654757,0.9833537342,0.3542174581,1.344608293
4.275,0.363578074,-0.8270028864,-0.1987394808,0.5662110762,0.9832429364,0.3533953176,1.3425651
4.3,0.3418370005,-0.9114148625,-0.1840119833,0.6114047993,0.9829406209,0.3525251109,1.340312607
4.325,0.3180528792,-0.9903619048,-0.1681995628,0.6529604993,0.9824179397,0.3516196682,1.337869949
4.35,0.2923685806,-1.063348925,-0.1513964218,0.6906212666,0.9816537339,0.3506911868,1.335257903
4.375,0.2649389815,-1.129911283,-0.1337029333,0.7241507297,0.9806355615,0.3497507007,1.33249794
4.4,0.2359301451,-1.189619536,-0.1152251016,0.7533350627,0.9793603859,0.3488076601,1.329611411
4.425,0.20551838,-1.242084255,-0.09607397461,0.7779849374,0.9778348817,0.3478696411,1.32661893
4.45,0.1738891812,-1.286960757,-0.0763650078,0.7979373766,0.9760753295,0.3469421993,1.323539952
4.475,0.1412360543,-1.32395358,-0.05621738362,0.8130574617,0.9741070951,0.3460288695,1.320392574
4.5,0.1077592336,-1.352820522,-0.03575329076,0.8232398508,0.9719637056,0.3451313088,1.31719354
4.525,0.07366430606,-1.373376099,-0.01509716807,0.8284100653,0.9696855595,0.3442495665,1.313958437
4.55,0.03916075763,-1.385494245,0.005625080358,0.8285255104,0.9673183264,0.343382462,1.310702046
4.575,0.004460463015,-1.389110161,0.02628689195,0.823576197,0.9649111087,0.3425280393,1.307438801
4.6,-0.0302238592,-1.3842212,0.04676186653,0.8135851463,0.9625144524,0.3416840678,1.304183311
4.625,-0.06468020102,-1.370886755,0.0669245932,0.7986084636,0.960178302,0.3408485508,1.300950874
