t,theta1,omega1,theta2,omega2,E1,E2,ET
81.2,-83.9463,-2.15124,-83.6067,-1.86441,380.478,296.9,677.371
81.21,-83.9678,-2.15348,-83.6254,-1.86665,382.518,298.98,681.491
81.22,-83.9893,-2.15582,-83.644,-1.86894,384.553,301.06,685.606
81.23,-84.0109,-2.15827,-83.6627,-1.87129,386.584,303.14,689.717
81.24,-84.0325,-2.16083,-83.6815,-1.8737,388.609,305.22,693.822
81.25,-84.0541,-2.16351,-83.7002,-1.87618,390.63,307.3,697.922
81.26,-84.0758,-2.16631,-83.719,-1.87872,392.645,309.38,702.017
81.27,-84.0974,-2.16923,-83.7378,-1.88132,394.655,311.459,706.107
81.28,-84.1192,-2.17227,-83.7566,-1.884,396.66,313.539,710.19
81.29,-84.1409,-2.17544,-83.7755,-1.88675,398.659,315.618,714.268
81.3,-84.1627,-2.17873,-83.7943,-1.88957,400.653,317.696,718.34
81.31,-84.1845,-2.18216,-83.8133,-1.89248,402.64,319.774,722.406
81.32,-84.2063,-2.18572,-83.8322,-1.89546,404.622,321.852,726.466
81.33,-84.2282,-2.18941,-83.8512,-1.89853,406.599,323.929,730.519
81.34,-84.2501,-2.19324,-83.8702,-1.90168,408.568,326.006,734.565
81.35,-84.272,-2.19721,-83.8892,-1.90492,410.532,328.082,738.605
81.36,-84.294,-2.20132,-83.9083,-1.90824,412.49,330.157,742.637
81.37,-84.3161,-2.20556,-83.9274,-1.91167,414.441,332.232,746.662
81.38,-84.3382,-2.20996,-83.9465,-1.91518,416.385,334.306,750.68
81.39,-84.3603,-2.2145,-83.9657,-1.9188,418.323,336.379,754.691
81.4,-84.3824,-2.21918,-83.9849,-1.92251,420.253,338.451,758.694
81.41,-84.4047,-2.22402,-84.0041,-1.92633,422.177,340.522,762.689
81.42,-84.4269,-2.229,-84.0234,-1.93025,424.094,342.593,766.676
81.43,-84.4492,-2.23414,-84.0427,-1.93427,426.003,344.662,770.654
81.44,-84.4716,-2.23943,-84.0621,-1.93841,427.905,346.731,774.624
81.45,-84.494,-2.24487,-84.0815,-1.94265,429.799,348.799,778.586
81.46,-84.5165,-2.25047,-84.1009,-1.94701,431.686,350.865,782.539
81.47,-84.539,-2.25622,-84.1204,-1.95149,433.564,352.931,786.482
81.48,-84.5616,-2.26213,-84.14,-1.95608,435.435,354.995,790.417
81.49,-84.5843,-2.2682,-84.1596,-1.96079,437.297,357.058,794.342
81.5,-84.607,-2.27442,-84.1792,-1.96563,439.151,359.12,798.258
81.51,-84.6298,-2.28081,-84.1989,-1.97058,440.996,361.181,802.163
81.52,-84.6526,-2.28736,-84.2186,-1.97567,442.832,363.24,806.059
81.53,-84.6755,-2.29406,-84.2384,-1.98088,444.659,365.299,809.944
81.54,-84.6985,-2.30093,-84.2582,-1.98622,446.478,367.356,813.819
81.55,-84.7215,-2.30796,-84.2781,-1.99169,448.286,369.411,817.683
81.56,-84.7447,-2.31515,-84.2981,-1.99729,450.085,371.465,821.536
81.57,-84.7678,-2.3225,-84.3181,-2.00303,451.875,373.518,825.378
81.58,-84.7911,-2.33001,-84.3381,-2.00891,453.654,375.57,829.208
81.59,-84.8144,-2.33769,-84.3582,-2.01492,455.423,377.619,833.027
81.6,-84.8379,-2.34552,-84.3784,-2.02108,457.182,379.668,836.833
81.61,-84.8614,-2.35352,-84.3987,-2.02738,458.93,381.714,840.627
81.62,-84.8849,-2.36167,-84.419,-2.03382,460.666,383.759,844.409
81.63,-84.9086,-2.36999,-84.4393,-2.0404,462.392,385.803,848.178
81.64,-84.9323,-2.37847,-84.4598,-2.04714,464.106,387.845,851.933
81.65,-84.9562,-2.3871,-84.4803,-2.05402,465.809,389.885,855.676
81.66,-84.9801,-2.39589,-84.5008,-2.06105,467.499,391.923,859.404
81.67,-85.0041,-2.40484,-84.5215,-2.06823,469.178,393.959,863.118
81.68,-85.0282,-2.41394,-84.5422,-2.07556,470.843,395.994,866.818
81.69,-85.0524,-2.4232,-84.563,-2.08305,472.496,398.027,870.503
81.7,-85.0766,-2.43261,-84.5839,-2.09069,474.136,400.057,874.173
81.71,-85.101,-2.44217,-84.6048,-2.09849,475.762,402.086,877.827
81.72,-85.1255,-2.45188,-84.6258,-2.10644,477.375,404.112,881.466
81.73,-85.15,-2.46173,-84.647,-2.11455,478.973,406.137,885.088
81.74,-85.1747,-2.47174,-84.6681,-2.12282,480.557,408.159,888.694
81.75,-85.1995,-2.48188,-84.6894,-2.13125,482.127,410.179,892.283
81.76,-85.2243,-2.49217,-84.7108,-2.13985,483.681,412.196,895.855
81.77,-85.2493,-2.50259,-84.7322,-2.1486,485.22,414.211,899.408
81.78,-85.2744,-2.51315,-84.7537,-2.15751,486.743,416.224,902.944
81.79,-85.2996,-2.52384,-84.7754,-2.16659,488.25,418.234,906.46
81.8,-85.3249,-2.53467,-84.7971,-2.17583,489.741,420.242,909.958
81.81,-85.3503,-2.54562,-84.8189,-2.18523,491.215,422.246,913.436
81.82,-85.3758,-2.55669,-84.8408,-2.1948,492.672,424.248,916.894
81.83,-85.4014,-2.56789,-84.8628,-2.20453,494.111,426.247,920.332
81.84,-85.4271,-2.5792,-84.8849,-2.21442,495.532,428.243,923.749
81.85,-85.453,-2.59063,-84.9071,-2.22448,496.935,430.236,927.144
81.86,-85.479,-2.60216,-84.9294,-2.23471,498.319,432.226,930.517
81.87,-85.505,-2.6138,-84.9518,-2.2451,499.684,434.212,933.868
81.88,-85.5312,-2.62554,-84.9743,-2.25565,501.029,436.195,937.196
81.89,-85.5576,-2.63738,-84.9969,-2.26636,502.354,438.175,940.5
81.9,-85.584,-2.64931,-85.0196,-2.27724,503.659,440.151,943.78
81.91,-85.6105,-2.66133,-85.0424,-2.28828,504.943,442.123,947.036
81.92,-85.6372,-2.67343,-85.0654,-2.29949,506.206,444.091,950.266
81.93,-85.664,-2.6856,-85.0884,-2.31085,507.448,446.055,953.471
81.94,-85.6909,-2.69785,-85.1116,-2.32238,508.667,448.015,956.649
81.95,-85.718,-2.71017,-85.1349,-2.33406,509.863,449.971,959.801
81.96,-85.7451,-2.72254,-85.1583,-2.34591,511.037,451.922,962.925
81.97,-85.7724,-2.73497,-85.1818,-2.35791,512.187,453.868,966.021
81.98,-85.7998,-2.74745,-85.2054,-2.37006,513.313,455.81,969.088
81.99,-85.8274,-2.75997,-85.2292,-2.38237,514.415,457.747,972.126
82,-85.855,-2.77253,-85.2531,-2.39484,515.492,459.678,975.134
82.01,-85.8828,-2.78511,-85.2771,-2.40745,516.544,461.604,978.111
82.02,-85.9107,-2.79772,-85.3012,-2.42021,517.57,463.525,981.057
82.03,-85.9388,-2.81035,-85.3255,-2.43312,518.57,465.439,983.971
82.04,-85.9669,-2.82298,-85.3499,-2.44617,519.544,467.348,986.853
82.05,-85.9952,-2.83562,-85.3744,-2.45937,520.49,469.251,989.701
82.06,-86.0236,-2.84825,-85.3991,-2.4727,521.409,471.147,992.516
82.07,-86.0522,-2.86087,-85.4239,-2.48617,522.301,473.036,995.296
82.08,-86.0809,-2.87347,-85.4488,-2.49977,523.163,474.919,998.04
82.09,-86.1097,-2.88603,-85.4738,-2.51351,523.998,476.795,1000.75
82.1,-86.1386,-2.89856,-85.4991,-2.52737,524.802,478.663,1003.42
82.11,-86.1676,-2.91105,-85.5244,-2.54135,525.578,480.523,1006.06
82.12,-86.1968,-2.92348,-85.5499,-2.55545,526.323,482.376,1008.65
82.13,-86.2261,-2.93585,-85.5755,-2.56967,527.038,484.22,1011.21
82.14,-86.2555,-2.94815,-85.6013,-2.584,527.722,486.056,1013.73
82.15,-86.2851,-2.96037,-85.6272,-2.59844,528.375,487.883,1016.21
82.16,-86.3147,-2.9725,-85.6532,-2.61298,528.997,489.701,1018.65
82.17,-86.3445,-2.98454,-85.6794,-2.62763,529.586,491.51,1021.05
82.18,-86.3744,-2.99647,-85.7058,-2.64236,530.143,493.309,1023.4
82.19,-86.4044,-3.00828,-85.7323,-2.65718,530.668,495.098,1025.72
82.2,-86.4346,-3.01997,-85.7589,-2.67209,531.159,496.876,1027.98
82.21,-86.4648,-3.03153,-85.7857,-2.68707,531.618,498.644,1030.21
82.22,-86.4952,-3.04295,-85.8127,-2.70213,532.042,500.4,1032.39
82.23,-86.5257,-3.05421,-85.8398,-2.71726,532.433,502.145,1034.52
82.24,-86.5563,-3.06531,-85.867,-2.73244,532.79,503.879,1036.61
82.25,-86.587,-3.07624,-85.8944,-2.74768,533.112,505.599,1038.66
82.26,-86.6178,-3.087,-85.922,-2.76296,533.4,507.308,1040.65
82.27,-86.6487,-3.09756,-85.9497,-2.77829,533.653,509.003,1042.6
82.28,-86.6798,-3.10793,-85.9775,-2.79365,533.871,510.684,1044.5
82.29,-86.7109,-3.11808,-86.0056,-2.80904,534.053,512.352,1046.35
82.3,-86.7421,-3.12803,-86.0337,-2.82445,534.2,514.005,1048.15
82.31,-86.7735,-3.13774,-86.062,-2.83986,534.312,515.644,1049.9
82.32,-86.8049,-3.14722,-86.0905,-2.85529,534.388,517.267,1051.59
82.33,-86.8364,-3.15646,-86.1192,-2.87071,534.428,518.875,1053.24
82.34,-86.868,-3.16544,-86.1479,-2.88611,534.433,520.466,1054.84
82.35,-86.8997,-3.17416,-86.1769,-2.9015,534.401,522.041,1056.38
82.36,-86.9315,-3.18261,-86.206,-2.91686,534.334,523.598,1057.87
82.37,-86.9634,-3.19077,-86.2352,-2.93218,534.231,525.138,1059.3
82.38,-86.9953,-3.19866,-86.2646,-2.94746,534.092,526.659,1060.69
82.39,-87.0273,-3.20624,-86.2942,-2.96268,533.917,528.162,1062.01
82.4,-87.0594,-3.21352,-86.3239,-2.97783,533.706,529.646,1063.29
82.41,-87.0916,-3.22049,-86.3537,-2.99291,533.46,531.11,1064.5
82.42,-87.1238,-3.22714,-86.3837,-3.00791,533.178,532.554,1065.66
82.43,-87.1562,-3.23346,-86.4139,-3.02281,532.861,533.977,1066.77
82.44,-87.1885,-3.23945,-86.4442,-3.03761,532.509,535.378,1067.82
82.45,-87.2209,-3.2451,-86.4746,-3.0523,532.121,536.758,1068.81
82.46,-87.2534,-3.2504,-86.5052,-3.06686,531.699,538.115,1069.74
82.47,-87.2859,-3.25534,-86.536,-3.08129,531.242,539.45,1070.62
82.48,-87.3185,-3.25992,-86.5668,-3.09557,530.751,540.76,1071.44
82.49,-87.3511,-3.26414,-86.5979,-3.10971,530.227,542.047,1072.2
82.5,-87.3838,-3.26799,-86.629,-3.12367,529.668,543.309,1072.91
82.51,-87.4165,-3.27146,-86.6603,-3.13746,529.076,544.546,1073.55
82.52,-87.4492,-3.27454,-86.6918,-3.15107,528.452,545.757,1074.14
82.53,-87.482,-3.27724,-86.7234,-3.16448,527.795,546.941,1074.66
82.54,-87.5148,-3.27955,-86.7551,-3.17768,527.105,548.099,1075.13
82.55,-87.5476,-3.28147,-86.7869,-3.19067,526.384,549.229,1075.54
82.56,-87.5804,-3.28299,-86.8189,-3.20342,525.632,550.331,1075.89
82.57,-87.6132,-3.28411,-86.851,-3.21594,524.85,551.405,1076.18
82.58,-87.6461,-3.28482,-86.8832,-3.22821,524.037,552.449,1076.41
82.59,-87.6789,-3.28513,-86.9156,-3.24022,523.194,553.464,1076.58
82.6,-87.7118,-3.28504,-86.948,-3.25196,522.323,554.449,1076.7
82.61,-87.7446,-3.28453,-86.9806,-3.26342,521.423,555.403,1076.75
82.62,-87.7775,-3.28361,-87.0133,-3.27458,520.495,556.325,1076.75
82.63,-87.8103,-3.28229,-87.0461,-3.28545,519.539,557.216,1076.68
82.64,-87.8431,-3.28055,-87.079,-3.29601,518.557,558.074,1076.56
82.65,-87.8759,-3.27841,-87.112,-3.30624,517.548,558.9,1076.37
82.66,-87.9087,-3.27585,-87.1451,-3.31615,516.515,559.693,1076.13
82.67,-87.9414,-3.27289,-87.1783,-3.32572,515.456,560.451,1075.83
82.68,-87.9741,-3.26951,-87.2116,-3.33494,514.373,561.176,1075.47
82.69,-88.0068,-3.26574,-87.245,-3.3438,513.266,561.866,1075.06
82.7,-88.0395,-3.26155,-87.2785,-3.35229,512.137,562.52,1074.58
82.71,-88.072,-3.25697,-87.3121,-3.36042,510.985,563.14,1074.05
82.72,-88.1046,-3.25199,-87.3457,-3.36816,509.812,563.723,1073.46
82.73,-88.1371,-3.24662,-87.3794,-3.3755,508.618,564.27,1072.82
82.74,-88.1695,-3.24085,-87.4132,-3.38246,507.403,564.781,1072.11
82.75,-88.2019,-3.2347,-87.4471,-3.389,506.17,565.254,1071.35
82.76,-88.2342,-3.22816,-87.481,-3.39514,504.917,565.691,1070.54
82.77,-88.2665,-3.22125,-87.515,-3.40086,503.646,566.09,1069.67
82.78,-88.2986,-3.21396,-87.549,-3.40615,502.358,566.451,1068.74
82.79,-88.3307,-3.20631,-87.5831,-3.41102,501.054,566.773,1067.76
82.8,-88.3628,-3.1983,-87.6172,-3.41545,499.733,567.058,1066.72
82.81,-88.3947,-3.18992,-87.6514,-3.41944,498.396,567.304,1065.63
82.82,-88.4266,-3.1812,-87.6856,-3.42298,497.045,567.511,1064.49
82.83,-88.4583,-3.17214,-87.7199,-3.42608,495.68,567.679,1063.29
82.84,-88.49,-3.16274,-87.7541,-3.42873,494.302,567.809,1062.04
82.85,-88.5216,-3.15301,-87.7884,-3.43093,492.91,567.899,1060.74
82.86,-88.5531,-3.14296,-87.8228,-3.43266,491.507,567.95,1059.39
82.87,-88.5844,-3.13259,-87.8571,-3.43394,490.092,567.961,1057.99
82.88,-88.6157,-3.12192,-87.8914,-3.43476,488.666,567.934,1056.54
82.89,-88.6469,-3.11095,-87.9258,-3.43512,487.23,567.867,1055.03
82.9,-88.6779,-3.09968,-87.9601,-3.43501,485.784,567.76,1053.48
82.91,-88.7089,-3.08813,-87.9945,-3.43444,484.329,567.614,1051.88
82.92,-88.7397,-3.07631,-88.0288,-3.43341,482.865,567.429,1050.23
82.93,-88.7704,-3.06422,-88.0631,-3.43192,481.393,567.205,1048.54
82.94,-88.801,-3.05188,-88.0975,-3.42997,479.913,566.942,1046.8
82.95,-88.8314,-3.03928,-88.1317,-3.42756,478.427,566.64,1045.01
82.96,-88.8618,-3.02645,-88.166,-3.42469,476.933,566.299,1043.18
82.97,-88.892,-3.01338,-88.2002,-3.42137,475.434,565.919,1041.3
82.98,-88.922,-3.00009,-88.2344,-3.4176,473.929,565.501,1039.38
82.99,-88.952,-2.98659,-88.2686,-3.41338,472.419,565.045,1037.41
83,-88.9818,-2.97288,-88.3027,-3.40872,470.904,564.551,1035.4
83.01,-89.0114,-2.95897,-88.3368,-3.40363,469.385,564.02,1033.35
83.02,-89.0409,-2.94488,-88.3708,-3.39809,467.862,563.451,1031.26
83.03,-89.0703,-2.93061,-88.4047,-3.39213,466.335,562.845,1029.13
83.04,-89.0996,-2.91617,-88.4386,-3.38575,464.805,562.203,1026.96
83.05,-89.1286,-2.90157,-88.4724,-3.37895,463.273,561.524,1024.75
83.06,-89.1576,-2.88681,-88.5062,-3.37174,461.737,560.809,1022.5
83.07,-89.1864,-2.87192,-88.5399,-3.36413,460.199,560.059,1020.21
83.08,-89.215,-2.85689,-88.5735,-3.35612,458.66,559.273,1017.89
83.09,-89.2435,-2.84173,-88.607,-3.34772,457.118,558.453,1015.53
83.1,-89.2719,-2.82646,-88.6404,-3.33894,455.576,557.599,1013.13
83.11,-89.3,-2.81108,-88.6738,-3.32979,454.032,556.711,1010.7
83.12,-89.3281,-2.79559,-88.707,-3.32027,452.487,555.789,1008.24
83.13,-89.356,-2.78002,-88.7402,-3.3104,450.941,554.834,1005.74
83.14,-89.3837,-2.76436,-88.7732,-3.30018,449.395,553.848,1003.2
83.15,-89.4112,-2.74863,-88.8062,-3.28962,447.848,552.829,1000.64
83.16,-89.4386,-2.73282,-88.839,-3.27873,446.302,551.778,998.044
83.17,-89.4659,-2.71696,-88.8717,-3.26752,444.755,550.697,995.417
83.18,-89.493,-2.70104,-88.9044,-3.256,443.208,549.586,992.76
83.19,-89.5199,-2.68508,-88.9369,-3.24419,441.662,548.445,990.074
83.2,-89.5467,-2.66908,-88.9692,-3.23208,440.116,547.274,987.358
83.21,-89.5733,-2.65305,-89.0015,-3.21969,438.57,546.075,984.614
83.22,-89.5998,-2.63699,-89.0336,-3.20703,437.025,544.848,981.843
83.23,-89.626,-2.62092,-89.0656,-3.19412,435.481,543.593,979.044
83.24,-89.6522,-2.60483,-89.0975,-3.18095,433.938,542.311,976.22
83.25,-89.6781,-2.58874,-89.1293,-3.16754,432.395,541.002,973.369
83.26,-89.7039,-2.57266,-89.1609,-3.15391,430.853,539.667,970.494
83.27,-89.7296,-2.55658,-89.1923,-3.14005,429.312,538.307,967.593
83.28,-89.7551,-2.54051,-89.2237,-3.12599,427.772,536.923,964.669
83.29,-89.7804,-2.52447,-89.2549,-3.11173,426.233,535.513,961.722
83.3,-89.8056,-2.50845,-89.2859,-3.09729,424.695,534.081,958.752
83.31,-89.8306,-2.49246,-89.3168,-3.08266,423.158,532.625,955.76
83.32,-89.8554,-2.4765,-89.3476,-3.06787,421.622,531.146,952.746
83.33,-89.8801,-2.46059,-89.3782,-3.05293,420.087,529.645,949.711
83.34,-89.9046,-2.44472,-89.4086,-3.03783,418.553,528.123,946.656
83.35,-89.929,-2.4289,-89.4389,-3.0226,417.02,526.579,943.58
83.36,-89.9532,-2.41314,-89.4691,-3.00725,415.488,525.016,940.485
83.37,-89.9773,-2.39744,-89.4991,-2.99177,413.958,523.432,937.371
83.38,-90.0012,-2.3818,-89.5289,-2.97619,412.428,521.829,934.239
83.39,-90.0249,-2.36622,-89.5586,-2.96052,410.899,520.206,931.088
83.4,-90.0485,-2.35072,-89.5881,-2.94475,409.371,518.566,927.921
83.41,-90.0719,-2.3353,-89.6175,-2.9289,407.844,516.907,924.736
83.42,-90.0952,-2.31995,-89.6467,-2.91299,406.318,515.231,921.534
83.43,-90.1183,-2.30468,-89.6757,-2.89701,404.792,513.538,918.316
83.44,-90.1413,-2.2895,-89.7046,-2.88099,403.267,511.829,915.083
83.45,-90.1641,-2.27441,-89.7334,-2.86491,401.743,510.104,911.834
83.46,-90.1868,-2.2594,-89.7619,-2.84881,400.22,508.363,908.57
83.47,-90.2093,-2.24449,-89.7903,-2.83267,398.698,506.607,905.292
83.48,-90.2317,-2.22968,-89.8186,-2.81652,397.175,504.836,901.999
83.49,-90.2539,-2.21496,-89.8467,-2.80035,395.654,503.051,898.693
83.5,-90.276,-2.20035,-89.8746,-2.78418,394.133,501.252,895.374
83.51,-90.2979,-2.18584,-89.9024,-2.76801,392.612,499.44,892.041
83.52,-90.3197,-2.17143,-89.93,-2.75186,391.092,497.614,888.696
83.53,-90.3413,-2.15713,-89.9574,-2.73572,389.572,495.776,885.339
83.54,-90.3628,-2.14294,-89.9847,-2.71961,388.052,493.926,881.969
83.55,-90.3842,-2.12886,-90.0118,-2.70352,386.532,492.064,878.588
83.56,-90.4054,-2.11489,-90.0387,-2.68748,385.013,490.19,875.195
83.57,-90.4265,-2.10103,-90.0655,-2.67147,383.494,488.306,871.791
83.58,-90.4474,-2.08729,-90.0922,-2.65552,381.974,486.41,868.377
83.59,-90.4682,-2.07366,-90.1186,-2.63962,380.455,484.504,864.952
83.6,-90.4889,-2.06015,-90.145,-2.62378,378.935,482.588,861.516
83.61,-90.5094,-2.04676,-90.1711,-2.60801,377.416,480.662,858.071
83.62,-90.5298,-2.03348,-90.1971,-2.5923,375.896,478.726,854.616
83.63,-90.5501,-2.02033,-90.223,-2.57667,374.376,476.781,851.151
83.64,-90.5702,-2.00729,-90.2487,-2.56112,372.856,474.827,847.677
83.65,-90.5902,-1.99437,-90.2742,-2.54566,371.335,472.865,844.195
83.66,-90.6101,-1.98157,-90.2996,-2.53028,369.814,470.894,840.703
83.67,-90.6299,-1.96889,-90.3248,-2.515,368.292,468.915,837.202
83.68,-90.6495,-1.95634,-90.3499,-2.49981,366.77,466.928,833.694
83.69,-90.669,-1.9439,-90.3748,-2.48473,365.247,464.933,830.177
83.7,-90.6884,-1.93159,-90.3996,-2.46974,363.724,462.931,826.652
83.71,-90.7076,-1.9194,-90.4242,-2.45487,362.2,460.922,823.119
83.72,-90.7268,-1.90732,-90.4487,-2.4401,360.675,458.906,819.578
83.73,-90.7458,-1.89537,-90.473,-2.42544,359.15,456.883,816.03
83.74,-90.7647,-1.88354,-90.4972,-2.4109,357.624,454.854,812.475
83.75,-90.7834,-1.87183,-90.5212,-2.39648,356.097,452.818,808.912
83.76,-90.8021,-1.86024,-90.5451,-2.38218,354.569,450.776,805.342
83.77,-90.8207,-1.84877,-90.5688,-2.368,353.04,448.728,801.766
83.78,-90.8391,-1.83741,-90.5925,-2.35394,351.511,446.674,798.182
83.79,-90.8574,-1.82618,-90.6159,-2.34001,349.98,444.615,794.593
83.8,-90.8756,-1.81506,-90.6393,-2.32621,348.448,442.55,790.996
83.81,-90.8937,-1.80407,-90.6625,-2.31254,346.915,440.48,787.393
83.82,-90.9117,-1.79318,-90.6855,-2.299,345.382,438.405,783.784
83.83,-90.9296,-1.78242,-90.7084,-2.28559,343.847,436.324,780.169
83.84,-90.9473,-1.77177,-90.7312,-2.27231,342.311,434.239,776.548
83.85,-90.965,-1.76123,-90.7539,-2.25917,340.773,432.149,772.921
83.86,-90.9826,-1.7508,-90.7764,-2.24617,339.235,430.055,769.288
83.87,-91,-1.74049,-90.7988,-2.2333,337.695,427.955,765.649
83.88,-91.0174,-1.73029,-90.8211,-2.22056,336.154,425.852,762.005
83.89,-91.0346,-1.7202,-90.8432,-2.20796,334.612,423.744,758.355
83.9,-91.0518,-1.71022,-90.8652,-2.1955,333.068,421.633,754.7
83.91,-91.0688,-1.70035,-90.8871,-2.18318,331.524,419.517,751.039
83.92,-91.0858,-1.69059,-90.9089,-2.171,329.977,417.397,747.373
83.93,-91.1026,-1.68093,-90.9305,-2.15895,328.43,415.273,743.702
83.94,-91.1194,-1.67137,-90.9521,-2.14704,326.881,413.146,740.026
83.95,-91.1361,-1.66192,-90.9735,-2.13527,325.331,411.015,736.345
83.96,-91.1526,-1.65258,-90.9948,-2.12364,323.779,408.88,732.658
83.97,-91.1691,-1.64333,-91.016,-2.11214,322.226,406.742,728.967
83.98,-91.1855,-1.63418,-91.037,-2.10078,320.672,404.6,725.271
83.99,-91.2018,-1.62514,-91.058,-2.08955,319.116,402.455,721.571
84,-91.218,-1.61619,-91.0788,-2.07847,317.559,400.307,717.865
84.01,-91.2341,-1.60733,-91.0995,-2.06751,316,398.156,714.155
84.02,-91.2502,-1.59858,-91.1202,-2.05669,314.44,396.001,710.44
84.03,-91.2661,-1.58991,-91.1407,-2.046,312.878,393.843,706.721
84.04,-91.282,-1.58134,-91.1611,-2.03545,311.315,391.683,702.998
84.05,-91.2977,-1.57286,-91.1814,-2.02503,309.75,389.519,699.269
84.06,-91.3134,-1.56447,-91.2016,-2.01473,308.185,387.353,695.537
84.07,-91.329,-1.55616,-91.2217,-2.00457,306.617,385.183,691.8
84.08,-91.3445,-1.54794,-91.2417,-1.99453,305.048,383.011,688.06
84.09,-91.36,-1.53981,-91.2616,-1.98462,303.478,380.837,684.315
84.1,-91.3753,-1.53176,-91.2814,-1.97484,301.907,378.659,680.566
84.11,-91.3906,-1.5238,-91.3011,-1.96518,300.334,376.479,676.812
84.12,-91.4058,-1.51591,-91.3207,-1.95564,298.759,374.296,673.055
84.13,-91.4209,-1.5081,-91.3402,-1.94623,297.183,372.111,669.294
84.14,-91.436,-1.50038,-91.3596,-1.93693,295.606,369.923,665.529
84.15,-91.4509,-1.49272,-91.3789,-1.92776,294.027,367.733,661.761
84.16,-91.4658,-1.48515,-91.3982,-1.9187,292.447,365.541,657.988
84.17,-91.4806,-1.47764,-91.4173,-1.90975,290.866,363.346,654.212
84.18,-91.4954,-1.47021,-91.4364,-1.90092,289.284,361.149,650.432
84.19,-91.51,-1.46285,-91.4553,-1.8922,287.7,358.95,646.649
84.2,-91.5246,-1.45556,-91.4742,-1.88359,286.115,356.748,642.863
84.21,-91.5392,-1.44834,-91.493,-1.87509,284.528,354.544,639.072
84.22,-91.5536,-1.44118,-91.5117,-1.8667,282.941,352.338,635.279
84.23,-91.568,-1.43409,-91.5303,-1.85841,281.352,350.13,631.482
84.24,-91.5823,-1.42706,-91.5489,-1.85023,279.762,347.921,627.682
84.25,-91.5965,-1.42009,-91.5673,-1.84215,278.171,345.709,623.879
84.26,-91.6107,-1.41318,-91.5857,-1.83416,276.578,343.495,620.073
84.27,-91.6248,-1.40633,-91.604,-1.82628,274.985,341.279,616.264
84.28,-91.6388,-1.39954,-91.6222,-1.81849,273.391,339.061,612.452
84.29,-91.6528,-1.39281,-91.6404,-1.81079,271.795,336.842,608.637
84.3,-91.6667,-1.38613,-91.6585,-1.80319,270.199,334.621,604.82
84.31,-91.6805,-1.3795,-91.6764,-1.79568,268.602,332.398,601
84.32,-91.6943,-1.37292,-91.6944,-1.78825,267.003,330.174,597.177
84.33,-91.708,-1.36639,-91.7122,-1.78091,265.404,327.948,593.352
84.34,-91.7216,-1.35991,-91.73,-1.77366,263.804,325.72,589.525
84.35,-91.7352,-1.35348,-91.7477,-1.76648,262.204,323.491,585.695
84.36,-91.7487,-1.3471,-91.7653,-1.75939,260.603,321.26,581.863
84.37,-91.7621,-1.34076,-91.7829,-1.75237,259.001,319.028,578.029
84.38,-91.7755,-1.33447,-91.8004,-1.74543,257.399,316.794,574.192
84.39,-91.7888,-1.32822,-91.8178,-1.73855,255.796,314.558,570.354
84.4,-91.802,-1.32201,-91.8351,-1.73175,254.194,312.321,566.514
84.41,-91.8152,-1.31584,-91.8524,-1.72502,252.591,310.082,562.673
84.42,-91.8284,-1.30971,-91.8696,-1.71835,250.988,307.842,558.83
84.43,-91.8414,-1.30362,-91.8868,-1.71174,249.385,305.6,554.985
84.44,-91.8544,-1.29757,-91.9039,-1.70519,247.782,303.356,551.139
84.45,-91.8674,-1.29156,-91.9209,-1.69871,246.179,301.112,547.291
84.46,-91.8803,-1.28558,-91.9378,-1.69227,244.577,298.865,543.443
84.47,-91.8931,-1.27964,-91.9547,-1.68589,242.975,296.618,539.593
84.48,-91.9059,-1.27373,-91.9716,-1.67956,241.373,294.369,535.742
84.49,-91.9186,-1.26785,-91.9883,-1.67328,239.772,292.118,531.891
84.5,-91.9312,-1.26201,-92.005,-1.66705,238.172,289.867,528.039
84.51,-91.9438,-1.2562,-92.0217,-1.66085,236.572,287.614,524.186
84.52,-91.9563,-1.25041,-92.0382,-1.6547,234.973,285.36,520.333
84.53,-91.9688,-1.24466,-92.0548,-1.64859,233.376,283.104,516.48
84.54,-91.9812,-1.23893,-92.0712,-1.64252,231.779,280.848,512.627
84.55,-91.9936,-1.23323,-92.0876,-1.63648,230.183,278.591,508.774
84.56,-92.0059,-1.22755,-92.1039,-1.63047,228.588,276.332,504.921
84.57,-92.0181,-1.22191,-92.1202,-1.62449,226.995,274.073,501.068
84.58,-92.0303,-1.21628,-92.1364,-1.61854,225.403,271.813,497.216
84.59,-92.0425,-1.21068,-92.1526,-1.61262,223.812,269.552,493.365
84.6,-92.0545,-1.2051,-92.1687,-1.60671,222.223,267.291,489.514
84.61,-92.0666,-1.19954,-92.1847,-1.60083,220.636,265.029,485.665
84.62,-92.0785,-1.194,-92.2007,-1.59497,219.05,262.766,481.816
84.63,-92.0905,-1.18848,-92.2166,-1.58912,217.466,260.503,477.97
84.64,-92.1023,-1.18298,-92.2325,-1.58329,215.885,258.24,474.125
84.65,-92.1141,-1.17749,-92.2483,-1.57746,214.305,255.976,470.281
84.66,-92.1259,-1.17203,-92.264,-1.57165,212.727,253.712,466.44
84.67,-92.1376,-1.16658,-92.2797,-1.56585,211.152,251.448,462.601
84.68,-92.1492,-1.16114,-92.2954,-1.56005,209.579,249.185,458.764
