# t, theta1, omega1, theta2, omega2, E_total
14.9, 0.6184527869, 2.496766451, -0.1089194864, -0.2113378076, 5.078567309
14.95, 0.7354153763, 2.173453702, -0.1184846545, -0.1713269243, 5.084548835
15, 0.8350558169, 1.805595983, -0.1260656857, -0.1321113127, 5.090791177
15.05, 0.9154014691, 1.403304895, -0.1317194588, -0.09430196324, 5.096488734
15.1, 0.9749706171, 0.9760425025, -0.1355227139, -0.05809068175, 5.100911538
15.15, 1.012733301, 0.5324080823, -0.1375526331, -0.0233170965, 5.103501704
15.2, 1.028069128, 0.08021907463, -0.137871495, 0.01043711667, 5.103925767
15.25, 1.020734813, -0.373196408, -0.1365165156, 0.04373654007, 5.102093888
15.3, 0.9908496286, -0.8205916421, -0.1334955286, 0.07717148424, 5.098158686
15.35, 0.9389021042, -1.254375893, -0.1287887497, 0.1112363854, 5.092500893
15.4, 0.8657763916, -1.666269386, -0.1223564914, 0.1462147318, 5.085700371
15.45, 0.7727918386, -2.047135932, -0.1141522981, 0.1820787288, 5.078483704
15.5, 0.6617445917, -2.387082544, -0.1041405395, 0.2184129656, 5.071638189
15.55, 0.5349361703, -2.67588726, -0.09231701112, 0.2543721415, 5.065889033
15.6, 0.3951722377, -2.903757015, -0.07873059326, 0.2886824849, 5.061751683
15.65, 0.2457168481, -3.06232762, -0.0635035904, 0.3196939171, 5.059389916
15.7, 0.09019433581, -3.145719985, -0.04684814258, 0.3454847489, 5.058524419
15.75, -0.06755784769, -3.151402469, -0.02907619033, 0.3640131819, 5.058436792
15.8, -0.2236694505, -3.080620862, -0.01060096994, 0.3733016156, 5.058094702
15.85, -0.3744252663, -2.938259129, 0.008071104537, 0.3716330265, 5.056388316
15.9, -0.5164318998, -2.732153096, 0.02635818457, 0.3577356202, 5.052428078
15.95, -0.6467399082, -2.472030185, 0.04362919876, 0.3309335998, 5.045825652
16, -0.7629088389, -2.168329893, 0.05923639825, 0.2912476487, 5.036876099
16.05, -0.8630155431, -1.831150118, 0.0725514768, 0.2394367354, 5.026582528
16.1, -0.9456166467, -1.469486618, 0.08300229131, 0.1769808526, 5.016506413
16.15, -1.009681909, -1.090832226, 0.09010735502, 0.1060105607, 5.008473204
16.2, -1.054516307, -0.7011185347, 0.09350567409, 0.02919295584, 5.004199797
16.25, -1.079686435, -0.3049336983, 0.09298002229, -0.05041491408, 5.004928984
