# t, theta1, omega1, theta2, omega2, E_total
4.35, 0.1315462865, -0.4812626724, 0.104021773, -0.5339276737, 0.3961324711
4.4, 0.1059749398, -0.5395152351, 0.07616268095, -0.578167453, 0.3961554977
4.45, 0.07781373878, -0.5846398772, 0.04644032805, -0.6083008981, 0.3961834473
4.5, 0.04774887388, -0.6155010353, 0.0155806218, -0.6235650273, 0.3962147292
4.55, 0.01651460646, -0.6313166027, -0.01566165852, -0.6235711489, 0.3962471994
4.6, -0.01512508927, -0.6316834822, -0.0465219537, -0.6083178738, 0.3962785129
4.65, -0.04639586923, -0.6165911645, -0.07624534814, -0.578191272, 0.3963065189
4.7, -0.07653271595, -0.5864221868, -0.1041056771, -0.5339521555, 0.3963296153
4.75, -0.1047993267, -0.5419394292, -0.1294236961, -0.4767115415, 0.396346986
4.8, -0.1305065576, -0.4842613155, -0.151583767, -0.4078962216, 0.3963586739
4.85, -0.153029365, -0.414826897, -0.1700486251, -0.3292068906, 0.396365477
4.9, -0.1718218002, -0.335353347, -0.1843719211, -0.2425713948, 0.3963686921
4.95, -0.1864297446, -0.247788513, -0.1942083517, -0.1500953772, 0.3963697686
5, -0.1965011994, -0.1542608765, -0.1993212935, -0.05401201224, 0.3963699443
5.05, -0.2017940456, -0.0570286714, -0.1995879237, 0.04336818648, 0.3963699462
5.1, -0.2021812622, 0.04157083262, -0.1950018405, 0.1397071795, 0.3963698165
5.15, -0.19765362, 0.1391715835, -0.1856731983, 0.232689014, 0.3963689033
5.2, -0.1883198699, 0.2334287478, -0.171826361, 0.3200696005, 0.396366015
5.25, -0.1744044302, 0.3220688748, -0.153795056, 0.3997268676, 0.3963597081
5.3, -0.1562425537, 0.402940491, -0.1320150157, 0.4697110538, 0.3963486462
5.35, -0.1342729581, 0.4740649282, -0.1070141172, 0.5282942339, 0.396331953
5.4, -0.109027926, 0.5336865013, -0.0794000984, 0.5740174586, 0.3963094829
5.45, -0.08112094415, 0.5803204079, -0.0498460213, 0.605733285, 0.3962819457
5.5, -0.05123205108, 0.6127960848, -0.01907377707, 0.6226411486, 0.3962508578
5.55, -0.02009118509, 0.6302934073, 0.01216394588, 0.6243130926, 0.3962183227
5.6, 0.01154004515, 0.6323691646, 0.04310269599, 0.6107078484, 0.3961866886
5.65, 0.04288762544, 0.6189717264, 0.07298567926, 0.5821721087, 0.3961581519
5.7, 0.07318481143, 0.5904426784, 0.1010829188, 0.5394288863, 0.3961343945
5.75, 0.1016915547, 0.5475052887, 0.126709528, 0.4835539351, 0.3961163286
5.8, 0.1277130412, 0.4912407829, 0.149242543, 0.4159421045, 0.3961040048
5.85, 0.1506167769, 0.423054339, 0.1681358728, 0.3382660604, 0.3960966974
5.9, 0.1698477676, 0.3446332964, 0.1829330466, 0.2524299517, 0.3960931456
5.95, 0.1849414698, 0.2579002337, 0.1932775694, 0.1605203417, 0.3960918957
6, 0.1955343182, 0.1649633023, 0.1989207922, 0.06475616254, 0.3960916663
6.05, 0.2013717406, 0.06806562524, 0.19972728, -0.03256126304, 0.3960916604
6.1, 0.2023136429, -0.03046517108, 0.1956776901, -0.1290977838, 0.3960917552
6.15, 0.1983373823, -0.1282669488, 0.1868691811, -0.2225357277, 0.3960925311
6.2, 0.1895382501, -0.2229927688, 0.1735133538, -0.3106233436, 0.3960951343
6.25, 0.1761274667, -0.3123607543, 0.1559317108, -0.3912246504, 0.3961010004
6.3, 0.1584276721, -0.3942044332, 0.1345486155, -0.4623695394, 0.3961114996
6.35, 0.1368658882, -0.4665234465, 0.1098817548, -0.522303327, 0.3961275775
6.4, 0.1119639518, -0.5275338369, 0.08253016812, -0.5695342277, 0.3961494721
6.45, 0.08432647408, -0.575716375, 0.05315999871, -0.6028765875, 0.396176569
6.5, 0.05462647724, -0.6098607177, 0.0224882423, -0.6214873425, 0.3962074313
6.55, 0.02358898219, -0.6291027889, -0.008735105183, -0.6248931768, 0.3962400009
6.6, -0.008027048862, -0.6329527671, -0.03974597974, -0.6130062759, 0.3962719321
6.65, -0.03944788707, -0.6213114887, -0.06978565498, -0.5861273774, 0.3963009861
6.7, -0.06990471151, -0.5944738971, -0.09811997498, -0.5449358569, 0.3963254033
6.75, -0.09865312381, -0.5531192391, -0.1240577824, -0.4904676743, 0.3963441742
6.8, -0.1249918562, -0.4982888371, -0.1469679752, -0.4240829394, 0.396357152
6.85, -0.1482800938, -0.4313532376, -0.1662947317, -0.3474254682, 0.3963649865
6.9, -0.1679529379, -0.3539711755, -0.1815705655, -0.2623769026, 0.3963688972
6.95, -0.1835346696, -0.2680430154, -0.192427002, -0.1710077632, 0.3963703388
7, -0.1946495986, -0.1756611151, -0.1986027702, -0.07552727495, 0.3963706324
7.05, -0.2010303943, -0.07905901827, -0.1999494802, 0.02176688974, 0.3963706439
7.1, -0.2025238737, 0.01943934976, -0.1964347965, 0.1185385067, 0.3963705767
7.15, -0.1990942596, 0.117470035, -0.1881431248, 0.2124624277, 0.3963699236
7.2, -0.1908239309, 0.2126790793, -0.1752738162, 0.3012742925, 0.396367587
7.25, -0.1779116716, 0.3027726139, -0.1581368778, 0.3828206009, 0.396362143
7.3, -0.1606684058, 0.385567355, -0.1371461715, 0.4551090277, 0.3963521921
7.35, -0.1395103984, 0.4590414292, -0.1128101061, 0.5163582348, 0.3963367227
7.4, -0.1149499193, 0.5213848136, -0.08571987872, 0.5650457141, 0.3963154072
7.45, -0.08758342478, 0.5710479245, -0.05653541799, 0.5999515554, 0.3962887648
7.5, -0.05807739841, 0.6067862144, -0.02596929107, 0.62019563, 0.3962581516
7.55, -0.02715211565, 0.6276982092, 0.00523102965, 0.6252656551, 0.3962255765
7.6, 0.004436274765, 0.6332543708, 0.03630202946, 0.6150339938, 0.3961933781
7.65, 0.03591483539, 0.6233145565, 0.06648354183, 0.5897618161, 0.3961638324
7.7, 0.06651348029, 0.5981326308, 0.0950380216, 0.5500902763, 0.3961387722
7.75, 0.0954845143, 0.5583478405, 0.1212690656, 0.4970194465, 0.3961193018
7.8, 0.1221214231, 0.5049636888, 0.1445386077, 0.4318767085, 0.3961056645
7.85, 0.1457763288, 0.4393160342, 0.164282318, 0.3562769438, 0.396097289
7.9, 0.1658756302, 0.3630328154, 0.18002286, 0.2720771061, 0.3960930013
7.95, 0.1819334753, 0.2779880576, 0.1913807875, 0.1813275852, 0.3960913512
8, 0.1935628437, 0.1862526407, 0.1980829699, 0.08622226189, 0.3960909821
8.05, 0.2004841289, 0.09004378861, 0.1999685148, -0.01095153706, 0.3960909624
8.1, 0.2025311902, -0.008325481982, 0.1969921967, -0.1078626931, 0.3960910083
8.15, 0.1996548879, -0.106496458, 0.1892254129, -0.2021856281, 0.3960915517
8.2, 0.1919241237, -0.2021144675, 0.1768546733, -0.2916496833, 0.396093637
8.25, 0.1795243957, -0.2928786708, 0.1601776118, -0.3740888702, 0.3960986714
8.3, 0.1627538524, -0.3765922843, 0.1395965016, -0.4474919615, 0.3961080791
8.35, 0.1420168255, -0.4512132484, 0.1156092692, -0.510052271, 0.3961229344
8.4, 0.1178148273, -0.5149047173, 0.08879805368, -0.5602157557, 0.3961436539
8.45, 0.090735057, -0.5660839981, 0.05981544447, -0.5967254008, 0.3961698155
8.5, 0.06143653978, -0.603467863, 0.02936864423, -0.618659407, 0.396200148
8.55, 0.03063414375, -0.6261116866, -0.001798069276, -0.6254606152, 0.3962326974
8.6, -0.00091914986, -0.6334397555, -0.03292208554, -0.6169549373, 0.3962651374
8.65, -0.03245122178, -0.6252644263, -0.06324181712, -0.5933572871, 0.396295159
8.7, -0.06319043384, -0.6017925503, -0.09201602672, -0.5552645101, 0.3963208582
8.75, -0.09238523723, -0.5636186129, -0.1185424858, -0.5036359016, 0.3963410356
8.8, -0.1193231153, -0.5117051686, -0.1421753801, -0.4397628866, 0.3963553493
8.85, -0.1433482624, -0.4473521786, -0.162340974, -0.3652301329, 0.396364288
8.9, -0.1638774993, -0.3721575824, -0.1785511703, -0.2818706592, 0.3963689756
8.95, -0.1804140537, -0.2879717515, -0.1904147267, -0.1917173876, 0.3963708536
9, -0.1925589635, -0.1968483542, -0.1976460037, -0.09695311635, 0.3963713107
9.05, -0.200019978, -0.1009936814, -0.2000712004, 0.0001397803728, 0.3963713424
9.1, -0.202617916, -0.002715777236, -0.1976320814, 0.09722933609, 0.3963713122
9.15, -0.2002904901, 0.09562602137, -0.190387215, 0.1919836537, 0.3963708655
9.2, -0.1930936187, 0.1916711537, -0.1785107281, 0.2821205675, 0.3963690133
9.25, -0.1812002367, 0.2831078774, -0.1622885725, 0.3654576285, 0.3963643693
9.3, -0.1648965967, 0.367723661, -0.1421122813, 0.4399624054, 0.396355489
9.35, -0.14457604, 0.4434559727, -0.1184702148, 0.5038025098, 0.396341239
9.4, -0.120730228, 0.5084429081, -0.09193633658, 0.555394039, 0.3963211166
9.45, -0.0939378718, 0.5610723592, -0.06315664787, 0.5934464557, 0.3962954478
9.5, -0.06485108038, 0.6000277206, -0.03283351674, 0.6170014563, 0.3962654176
9.55, -0.03417956151, 0.6243276321, -0.001708268493, 0.6254632643, 0.3962329223
9.6, -0.002673039927, 0.6333571143, 0.02945747616, 0.61861808, 0.3962002712
9.65, 0.0288976159, 0.626887746, 0.05990112951, 0.596641114, 0.3961698006
9.7, 0.05975996561, 0.6050852334, 0.08887849211, 0.5600906179, 0.3961434816
9.75, 0.08915961644, 0.5685037316, 0.1156824928, 0.5098894174, 0.3961226054
9.8, 0.1163792353, 0.5180674047, 0.1396607225, 0.4472954571, 0.3961076123
9.85, 0.1407563501, 0.4550407525, 0.1602312662, 0.3738635884, 0.396098098
9.9, 0.1616994325, 0.3809899862, 0.1768964585, 0.291401169, 0.3960929928
9.95, 0.1787018809, 0.2977380894, 0.1892543172, 0.2019199518, 0.3960908692
10, 0.1913536526, 0.2073161211, 0.1970075218, 0.1075863015, 0.3960903113
10.05, 0.1993504119, 0.1119128571, 0.1999698912, 0.01067110458, 0.396090263
10.1, 0.2025001498, 0.01382418027, 0.1980703644, -0.08649998014, 0.3960902817
10.15, 0.2007272822, -0.08459712587, 0.1913545036, -0.1815958988, 0.3960906437
10.2, 0.1940742487, -0.1809911649, 0.1799835312, -0.2723295347, 0.396092278
10.25, 0.1827006261, -0.2730406658, 0.1642308934, -0.3565073623, 0.3960965453
10.3, 0.1668797463, -0.3585210903, 0.1444763309, -0.4320794926, 0.3961049055
10.35, 0.1469927963, -0.435351229, 0.1211974458, -0.4971896149, 0.3961185471
10.4, 0.1235203846, -0.501643824, 0.09495879811, -0.5502236252, 0.3961380577
10.45, 0.0970315987, -0.5557550136, 0.06639864227, -0.5898550398, 0.3961632091
10.5, 0.06817065961, -0.5963306691, 0.03621352214, -0.6150847825, 0.396192906
10.55, 0.03764138702, -0.6223471533, 0.00514107195, -0.6252727656, 0.3962253153
10.6, 0.006189822321, -0.6331438328, -0.0260585071, -0.6201589215, 0.3962581502
10.65, -0.02541451634, -0.6284449106, -0.05662172088, -0.5998719897, 0.3962890512
10.7, -0.05639816451, -0.6083687972, -0.08580117202, -0.5649253197, 0.3963159833
10.75, -0.0860033801, -0.5734242228, -0.11288442, -0.5162000392, 0.3963375635
10.8, -0.1135072906, -0.5244934183, -0.1372117109, -0.4549169628, 0.3963532512
10.85, -0.1382399031, -0.4628037609, -0.158192064, -0.3825993882, 0.3963633625
10.9, -0.1596004533, -0.3898900878, -0.1753173241, -0.3010293167, 0.3963689087
10.95, -0.1770716906, -0.3075502917, -0.1881739121, -0.212199602, 0.3963712986
11, -0.1902318296, -0.2177967919, -0.196452127, -0.1182641358, 0.3963719717
11.05, -0.1987640197, -0.1228060599, -0.1999529398, -0.02148753233, 0.3963720424
11.1, -0.202463274, -0.02486771588, -0.1985922763, 0.07580494402, 0.3963720315
11.15, -0.2012408608, 0.07366604177, -0.1924028057, 0.1712770911, 0.3963717427
11.2, -0.1951261778, 0.1704305695, -0.181533247, 0.262631399, 0.3963703088
11.25, -0.1842661245, 0.2630987895, -0.1662451889, 0.3476589478, 0.3963663988
11.3, -0.168921968, 0.3494314836, -0.1469074045, 0.4242896677, 0.3963585417
11.35, -0.149463684, 0.4273280169, -0.1239876524, 0.4906425124, 0.3963454978
11.4, -0.1263617569, 0.4948770882, -0.09804199383, 0.5450744031, 0.3963265975
11.45, -0.100176464, 0.5504063775, -0.0697017294, 0.5862260979, 0.3963019731
11.5, -0.07154474191, 0.5925292349, -0.03965816912, 0.6130626183, 0.3962726294
11.55, -0.041164843, 0.6201859917, -0.008645570119, 0.6249056576, 0.3962403335
11.6, -0.009779114687, 0.6326772507, 0.02257729498, 0.6214556016, 0.3962073453
11.65, 0.02184463231, 0.6296866966, 0.0532463727, 0.6028014053, 0.3961760421
11.7, 0.05293259441, 0.6112915896, 0.08261173426, 0.5694175027, 0.3961485183
11.75, 0.08272464165, 0.5779600583, 0.1099565056, 0.5221480144, 0.3961262452
11.8, 0.1104935213, 0.5305354243, 0.1346147158, 0.4621795569, 0.3961098622
11.85, 0.1355629789, 0.4702088725, 0.1559875427, 0.3910047568, 0.3960991431
11.9, 0.1573242647, 0.3984826125, 0.1735575558, 0.3103789994, 0.3960931391
11.95, 0.1752506144, 0.3171261251, 0.1869006789, 0.2222729457, 0.3960904648
12, 0.1889094243, 0.2281281055, 0.1956957208, 0.1288229755, 0.3960896621
12.05, 0.1979719632, 0.1336463288, 0.199731408, 0.03228108665, 0.3960895623
12.1, 0.2022205604, 0.03595701437, 0.198910918, -0.06503495166, 0.3960895677
12.15, 0.201553268, -0.06259549151, 0.1932539304, -0.1607910372, 0.396089794
12.2, 0.1959860191, -0.1596485731, 0.1828962114, -0.2526860404, 0.3960910425
12.25, 0.1856522993, -0.2528710533, 0.1680867279, -0.3385013651, 0.3960946098
12.3, 0.1708003261, -0.3400131917, 0.1491822725, -0.416150926, 0.3961019727
12.35, 0.1517877173, -0.4189571866, 0.1266395858, -0.4837311905, 0.3961144184
12.4, 0.1290736253, -0.4877678682, 0.101004995, -0.539570241, 0.3961326962
12.45, 0.1032083529, -0.5447425523, 0.07290165944, -0.582274095, 0.3961567707
12.5, 0.07482053216, -0.5884582753, 0.04301461529, -0.6107679652, 0.3961857313
12.55, 0.04460205677, -0.6178140372, 0.01207393876, -0.6243298783, 0.3962178813
12.6, 0.01329108102, -0.6320653923, -0.01916353001, -0.6226142232, 0.3962509938
12.65, -0.01834646507, -0.6308488651, -0.04993334771, -0.6056633573, 0.3962826782
12.7, -0.0495362848, -0.6141942278, -0.07948288811, -0.5739062993, 0.3963107843
12.75, -0.07951541037, -0.5825236014, -0.1070903739, -0.5281446169, 0.3963337531
12.8, -0.1075515231, -0.536637454, -0.1320829053, -0.469526671, 0.3963508446
12.85, -0.1329612687, -0.4776886679, -0.1538529497, -0.3995122229, 0.3963621919
12.9, -0.1551270185, -0.4071467282, -0.1718728728, -0.3198298903, 0.3963686772
12.95, -0.1735116461, -0.326754594, -0.185707217, -0.232429999, 0.3963716578
13, -0.1876710208, -0.2384808843, -0.1950225541, -0.1394350525, 0.3963726062
13.05, -0.1972640405, -0.1444696828, -0.199594838, -0.04308943853, 0.3963727429
13.1, -0.2020601339, -0.04698963642, -0.1993142433, 0.05429072763, 0.3963727415
13.15, -0.2019442192, 0.05161671965, -0.1941875058, 0.1503673813, 0.3963725677
13.2, -0.1969191416, 0.1489831772, -0.18433778, 0.242830124, 0.396371488
13.25, -0.187105607, 0.2427698559, -0.1700020114, 0.3294460416, 0.3963682442
13.3, -0.1727396121, 0.3307134076, -0.1515258091, 0.4081098995, 0.3963613572
13.35, -0.1541673535, 0.4106776554, -0.1293558037, 0.4768944098, 0.3963494972
13.4, -0.1318375982, 0.4807044095, -0.1040295096, 0.5340995844, 0.3963318383
13.45, -0.106291527, 0.5390634999, -0.07616277594, 0.5782994768, 0.3963083206
13.5, -0.07815013004, 0.5843003232, -0.0464350127, 0.6083840378, 0.3962797611
13.55, -0.04809933444, 0.61527859, -0.01557249915, 0.6235935208, 0.3962477829
13.6, -0.0168731693, 0.6312156417, 0.01566978963, 0.6235429864, 0.3962145766
13.65, 0.01476459601, 0.6317078014, 0.04652729228, 0.6082349807, 0.3961825403
13.7, 0.04603978826, 0.6167437468, 0.07624528504, 0.5780593377, 0.3961538755
13.75, 0.07618751044, 0.586704785, 0.1040979718, 0.5337801261, 0.3961302245
13.8, 0.1044715054, 0.5423520101, 0.1294066209, 0.4765108285, 0.3961124265
13.85, 0.1302025697, 0.4848014265, 0.1515562057, 0.4076797079, 0.3961004422
13.9, 0.1527554632, 0.4154890276, 0.17001012, 0.328987832, 0.3960934596
13.95, 0.1715838733, 0.3361283615, 0.1843226635, 0.2423623243, 0.3960901544
14, 0.1862331247, 0.2486632278, 0.1941491203, 0.1499071113, 0.3960890446
14.05, 0.1963504532, 0.1552178465, 0.1992533478, 0.05385284736, 0.3960888622
14.1, 0.2016927614, 0.05804623738, 0.1995128631, -0.04349302028, 0.3960888601
14.15, 0.2021318467, -0.04051820166, 0.1949214433, -0.1397957671, 0.3960889904
14.2, 0.1976571192, -0.138112639, 0.1855892565, -0.2327426907, 0.3960899157
14.25, 0.1883758312, -0.2323945111, 0.1717405255, -0.3200925871, 0.3960928515
14.3, 0.1745108177, -0.3210914225, 0.1537087071, -0.3997256434, 0.3960992732
14.35, 0.1563957307, -0.4020515387, 0.1319291701, -0.4696935294, 0.3961105492
14.4, 0.134467743, -0.4732942991, 0.1069293802, -0.5282688047, 0.3961275797
14.45, 0.1092577253, -0.5330605881, 0.07931666351, -0.5739920317, 0.3961505197
14.5, 0.08137796069, -0.5798607479, 0.04976371797, -0.6057143776, 0.3961786492
14.55, 0.05150755769, -0.6125181694, 0.01899215945, -0.6226331516, 0.3962104229
14.6, 0.02037584964, -0.6302058339, -0.01224547911, -0.6243177751, 0.3962436927
14.65, -0.01125580246, -0.6324732101, -0.04318476426, -0.6107241584, 0.3962760577
14.7, -0.04261326508, -0.6192613858, -0.07306878065, -0.5821962899, 0.3963052691
14.75, -0.07292932101, -0.5909051617, -0.1011673042, -0.5394549003, 0.3963296022
14.8, -0.1014631308, -0.5481219268, -0.126795103, -0.4835741434, 0.3963481179
14.85, -0.1275188251, -0.4919882522, -0.1493288092, -0.4159481377, 0.3963607586
14.9, -0.1504626566, -0.4239060858, -0.168221915, -0.3382497858, 0.3963682618
14.95, -0.1697382539, -0.3455610325, -0.1830175693, -0.2523844391, 0.3963719143
15, -0.1848796459, -0.2588753743, -0.193358979, -0.1604407321, 0.3963732032
15.05, -0.1955218578, -0.1659582372, -0.1989973187, -0.06464035449, 0.3963734412
15.1, -0.201408983, -0.06905474031, -0.1997971269, 0.03271217816, 0.3963734475
15.15, -0.2023997121, 0.02950477398, -0.195739199, 0.1292793802, 0.3963733523
15.2, -0.1984703346, 0.1273550502, -0.1869209951, 0.222740417, 0.396372566
15.25, -0.1897152332, 0.2221459341, -0.1735545653, 0.3108408518, 0.3963699192
15.3, -0.1763448774, 0.3115924991, -0.155961978, 0.3914427639, 0.3963639439
15.35, -0.1586813004, 0.39352559, -0.1345682363, 0.4625750594, 0.3963532376
15.4, -0.1371510395, 0.4659426556, -0.1098916891, 0.5224831503, 0.3963368295
15.45, -0.1122755432, 0.5270580799, -0.08253200547, 0.5696764559, 0.3963144717
15.5, -0.08465910435, 0.5753514706, -0.05315587168, 0.6029715588, 0.3962867878
15.55, -0.05497447515, 0.6096117066, -0.02248069235, 0.6215284862, 0.3962552432
15.6, -0.02394643888, 0.6289741535, 0.008743298234, 0.6248776014, 0.39622194
15.65, 0.007666253258, 0.6329484515, 0.03975198969, 0.6129350316, 0.3961892766
15.7, 0.03909005265, 0.6214347096, 0.0697868055, 0.5860053638, 0.3961595439
15.75, 0.06955627344, 0.5947267631, 0.09811392251, 0.5447713854, 0.3961345448
15.8, 0.09832058413, 0.5535022175, 0.1240426694, 0.4902717309, 0.396115316
15.85, 0.1246816864, 0.4988001274, 0.1469425407, 0.4238682233, 0.3961020124
15.9, 0.1479986048, 0.4319881223, 0.1662583698, 0.3472053031, 0.3960939738
15.95, 0.1677061196, 0.3547214254, 0.181523329, 0.2621641258, 0.3960899556
16, 0.1833280024, 0.2688964231, 0.1923695516, 0.1708136955, 0.3960884708
